"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Teclado Mecânico","","9926.8","3691.1","99268","02/01/2023","FOB","","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Caderno Universitário","9","4387.52","2391.45","39487.68","21/05/2024","FOB","","Cancelada"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Headset USB","10","6306.63","4172.06","63066.3","12/23/2023","FOB","","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Monitor Full HD","20","6906.68","3155.39","138133.6","03/15/2023","FOB","","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Mesa de Escritório","23","80.12","37.33","1842.76","22/09/2024","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Cadeira Ergonômica","21","3470.21","2367.35","72874.41","09/03/2023","CIF","79.93","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Pulseira Esportiva","24","2984.74","1851.46","71633.76","12/02/2023","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Smartphone Importado","2","6384.18","3222.18","12768.36","21/04/2024","CIF","39.46","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Caderno Universitário","9","5047.93","2391.45","45431.37","08/27/2023","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Lápis de Cor","8","3015.69","1224.15","24125.52","17/11/2023","FOB","","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Marcador Permanente","19","1860.12","1029.34","35342.28","28/10/2024","FOB","","Cancelada"
"Carlos Eduardo Lima","Brasília","Ba","768.734.911-59","","Relógio Digital","7","10951.72","4883.82","76662.04","10/11/2024","CIF","112.8","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Mesa Gamer","23","2913.89","1677.63","67019.47","14/12/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Agenda 2025","6","816.02","375.79","4896.12","26/03/2024","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Estante de Livros","21","751.08","537.08","15772.68","07/11/2023","FOB","","Em Análise"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Mochila Executiva","14","5817.79","2639.54","81449.06","21/05/2023","CIF","165.96","Pendente"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","","19","4109.58","2535.16","78082.02","21/09/2023","FOB","","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Mesa de Escritório","12","3667","1365.18","44004","04/04/2024","CIF","97.85","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Mini Projetor","23","473.71","266.3","10895.33","02/06/2024","FOB","","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Monitor Full HD","7","8385.21","3155.39","58696.47","08/06/2024","CIF","119.43","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Smartphone Importado","2","11145.58","4755.27","22291.16","06/04/2023","CIF","21.77","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","","9","587.61","384.07","5288.49","07/10/2024","FOB","","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Lápis de Cor","9","8351.14","3301.64","75160.26","15/02/2023","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Smartphone Importado","10","2724.39","1843.64","27243.9","07/04/2023","FOB","","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Bolsa de Viagem","30","10263.16","4390.23","307894.8","25/01/2023","FOB","","Concluída"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Fone Bluetooth","19","6128.9","2464.7","116449.1","05/18/2024","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Drone Compacto","20","4886.86","3454.19","97737.2","05/09/2023","FOB","","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Cadeira Ergonômica","17","2470.66","1417.54","42001.22","20/04/2023","FOB","","Pendente"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Bolsa de Viagem","17","7809.8","4602.28","132766.6","26/08/2023","CIF","106.36","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Monitor Full HD","","3902.75","2421.74","23416.5","22/08/2024","CIF","46.23","Pendente"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Relógio Digital","1","7908.95","3080.95","7908.95","23/03/2023","FOB","","Em Análise"
"UniFlex Comercial","Manaus","Prr","","53.020.698/5267-01","","19","6079.21","2383.72","115504.99","20/05/2023","CIF","172.7","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Mini Projetor","23","2480.94","1331.14","57061.62","06/18/2023","CIF","118.35","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mesa de Escritório","24","2123.27","1177.07","50958.48","03/10/2023","CIF","146.7","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Carteira Masculina","21","2188.34","1006.08","45955.14","06/09/2023","CIF","61.98","Pendente"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Bloco de Notas","11","1017.14","388.28","11188.54","10/10/2023","FOB","","Concluída"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Caderno Universitário","18","4315.2","2391.45","77673.6","13/10/2024","CIF","159.14","Cancelada"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Caderno Universitário","29","4249.54","1559.44","123236.66","18/05/2024","CIF","112.24","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Smartphone Importado","27","2587.94","1725.45","69874.38","03/06/2024","FOB","","Pendente"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Notebook Gamer","3","2688.77","1465.32","8066.31","28/09/2023","CIF","119.37","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Mesa Gamer","22","699.71","378.66","15393.62","05/17/2024","CIF","132.88","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","PC de Escritório","13","5483.15","2333.62","71280.95","14/02/2024","FOB","","Pendente"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Kit Gamer Completo","25","3493.8","1453.32","87345","18/02/2023","FOB","","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Caderno Universitário","16","1099.49","792.15","17591.84","21/03/2024","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mesa de Escritório","17","65.15","37.33","1107.55","05/10/2023","FOB","","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Carteira Masculina","18","1517.23","1006.08","27310.14","18/11/2023","CIF","186.86","Concluída"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Bolsa de Viagem","29","5721.04","2508.59","165910.16","08/18/2024","CIF","70.31","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mesa de Escritório","21","1601.24","1365.18","33626.04","17/10/2023","CIF","160.46","Pendente"
"Patrícia Moura","Porto Alegre"," Rs","446.073.750-07","","Bloco de Notas","8","136.45","101.6","1091.6","04/10/2024","CIF","91.77","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","17","4306.02","2391.45","73202.34","09/22/2024","CIF","64.93","Cancelada"
"Carlos Eduardo Lima","Brasília","Ba","768.734.911-59","","Óculos de Sol","17","9144.31","4300.07","155453.27","27/02/2024","FOB","","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Notebook Gamer","18","9678.61","3642.58","174214.98","07/09/2023","FOB","","Cancelada"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Relógio Digital","15","6483.82","3080.95","97257.3","04/02/2023","CIF","122.79","Em Análise"
"Renato Carvalho","Recife","PE","071.142.172-58","","Headset USB","28","5590.52","2383.72","156534.56","05/30/2024","CIF","54.67","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","Mesa Gamer","1","5684.04","2892.85","5684.04","01/04/2023","CIF","26.13","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Bloco de Notas","1","857.19","384.07","857.19","08/03/2023","FOB","","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Drone Compacto","3","1606.7","643.74","4820.1","04/21/2023","FOB","","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Smartphone Importado","24","10804.02","4755.27","259296.48","02/02/2023","CIF","120.52","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Fone Bluetooth","22","708.95","283.49","15596.9","14/12/2023","FOB","","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Pulseira Esportiva","19","8409.22","3519.38","159775.18","09/21/2023","CIF","87.24","Concluída"
"Beatriz Correia","Salvador","SPP","511.440.560-17","","Pulseira Esportiva","2","2059.35","1343.47","4118.7","22/07/2024","CIF","28.82","Pendente"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Estojo Escolar","7","4051.09","2260.22","28357.63","07/12/2023","CIF","130.08","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Caderno Universitário","12","2982.36","1857.11","35788.32","16/07/2023","FOB","","Concluída"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Notebook Gamer","22","3784.09","1465.32","83249.98","09/12/2024","CIF","25.14","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Bloco de Notas","","988.85","522.09","21754.7","03/10/2023","FOB","","Pendente"
"Mariana Gomes","Curitiba","Prr","662.049.694-89","","Bolsa de Viagem","19","3685.04","2508.59","70015.76","20/01/2024","FOB","","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Smartphone Importado","19","8770.6","4755.27","166641.4","29/06/2024","CIF","39.74","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Agenda 2025","20","4330.15","1646.62","86603","11/10/2023","FOB","","Cancelada"
"Felipe Moreira","Manaus","AM","247.173.034-32","","","17","10705.75","4390.23","181997.75","24/01/2023","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Relógio Digital","12","3466.73","1386.93","41600.76","20/02/2023","FOB","","Cancelada"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Headset USB","20","11278.11","4172.06","225562.2","30/05/2023","CIF","148.04","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Kit Gamer Completo","7","7250.51","4378.65","50753.57","28/02/2023","FOB","","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Agenda 2025","21","3537.06","1646.62","74278.26","30/09/2023","FOB","","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","PC Gamer","14","1506.71","1137.49","21093.94","02/15/2023","FOB","","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Caixa de Som Smart","23","13646.08","4985.88","313859.84","08/12/2023","CIF","26.03","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bolsa de Viagem","7","321.83","203.78","2252.81","19/05/2024","CIF","146.26","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Lápis de Cor","17","4838.08","2192.98","82247.36","26/11/2023","FOB","","Em Análise"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Carteira Masculina","16","3463.03","2611.38","55408.48","17/11/2024","CIF","93.74","Cancelada"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Caderno Universitário","3","1134.52","792.15","3403.56","06/08/2023","CIF","184.39","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Cadeira Ergonômica","20","4060.94","2896.04","81218.8","22/04/2023","CIF","134.55","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","Fone Bluetooth","26","7766.8","4459.8","201936.8","03/12/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","PC de Escritório","12","153.71","81.54","1844.52","10/02/2024","FOB","","Em Análise"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Drone Compacto","21","2111.49","896.51","44341.29","13/10/2024","FOB","","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Carteira Masculina","13","2739.98","1222.15","35619.74","10/31/2024","CIF","110.99","Em Análise"
"Prime Office Supplies","Belém","Prr","","15.193.269/0057-63","Cadeira Ergonômica","25","4020.43","1893.17","100510.75","03/18/2023","CIF","66.64","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Drone Compacto","17","3106.33","1142.1","52807.61","07/04/2024","CIF","52.38","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Óculos de Sol","5","4951.31","3325.08","24756.55","05/02/2023","CIF","95","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Smartphone Importado","19","6577.7","3222.18","124976.3","16/07/2024","CIF","114.87","Em Análise"
"Fortline Comércio Geral","Belém"," pa","","62.057.831/3216-20","Estante de Livros","7","1852.28","1655.49","12965.96","12/12/2023","FOB","","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bolsa de Viagem","12","6995.59","2508.59","83947.08","29/09/2024","FOB","","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Bloco de Notas","14","9460.89","3573.49","132452.46","30/10/2023","CIF","20.93","Em Análise"
"Larissa Ferreira","Manaus","Prr","450.010.242-24","","Caderno Universitário","27","6272.36","4318.97","169353.72","06/06/2023","CIF","152.09","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Teclado Mecânico","1","6353.75","3976.7","6353.75","13/02/2024","FOB","","Cancelada"
"Daniel Lobo","São Paulo"," pa","550.369.280-76","","Mesa Gamer","17","8672.01","4489.45","147424.17","07/09/2023","CIF","58.51","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Drone Compacto","23","1751.34","1186.41","40280.82","27/06/2024","CIF","198.61","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Fone Bluetooth","7","7831.09","4976.19","54817.63","18/10/2024","FOB","","Cancelada"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Bolsa de Viagem","23","5635.23","2377.28","129610.29","15/05/2023","FOB","","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Notebook Gamer","13","3551.08","3020.39","46164.04","09/11/2023","CIF","139.87","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Pulseira Esportiva","23","3101.52","1499.98","71334.96","19/08/2024","CIF","148.35","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Carteira Masculina","6","1825.72","1006.08","10954.32","08/11/2023","CIF","48.11","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Drone Compacto","1","3991.02","2554.13","3991.02","03/16/2024","CIF","176.31","Pendente"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Mesa Gamer","2","765.42","378.66","1530.84","16/07/2023","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Bloco de Notas","20","7824.54","4301.47","156490.8","28/07/2024","FOB","","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Pulseira Esportiva","5","4551.64","1778.19","22758.2","30/01/2024","CIF","150.87","Pendente"
"LogiCenter Brasil","Salvador"," Df","","26.929.896/9741-00","Mochila Executiva","5","3084.01","2060.92","15420.05","10/01/2024","CIF","181.31","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Estante de Livros","19","3945.28","1655.49","74960.32","10/09/2024","FOB","","Pendente"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Mesa Gamer","25","7265.47","3954.14","181636.75","23/09/2023","FOB","","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Pulseira Esportiva","27","86.56","75.48","2337.12","03/08/2024","CIF","140.13","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Notebook Gamer","24","6586.5","3324.45","158076","28/09/2024","CIF","193.69","Concluída"
"Renato Carvalho","Recife","RJ ","071.142.172-58","","Pulseira Esportiva","5","174.8","75.48","874","04/10/2024","CIF","114.06","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa Gamer","19","2606.95","1106.61","49532.05","26/11/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Armário de Aço","30","2109.31","1310.02","63279.3","21/04/2024","FOB","","Cancelada"
"Larissa Ferreira","Manaus"," Rs","450.010.242-24","","Carteira Masculina","12","5169.04","3637.77","62028.48","08/20/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Estante de Livros","4","5719.76","3981.85","22879.04","29/11/2023","FOB","","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Estojo Escolar","26","445.69","387.85","11587.94","23/03/2024","CIF","199.47","Pendente"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Marcador Permanente","1","4950.74","4397.9","4950.74","16/05/2023","CIF","189.93","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Mini Projetor","27","467.17","266.3","12613.59","10/29/2024","CIF","152.62","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","PC de Escritório","22","117.37","47.89","2582.14","09/02/2024","CIF","160.27","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Caderno Universitário","3","9148.74","4706.99","27446.22","01/26/2024","CIF","43.85","Cancelada"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Drone Compacto","12","1792.78","1307.68","21513.36","26/02/2024","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Monitor Full HD","10","4886.65","2142.21","48866.5","19/04/2023","CIF","48.01","Pendente"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","PC Gamer","29","11991.24","4913.43","347745.96","05/06/2024","FOB","","Cancelada"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Armário de Aço","14","8106.62","4572.78","113492.68","06/07/2024","CIF","111.58","Em Análise"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Notebook Gamer","23","4935.91","3572.62","113525.93","10/16/2024","CIF","60.27","Em Análise"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Notebook Gamer","23","4935.91","3572.62","113525.93","10/16/2024","CIF","60.27","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Headset USB","7","10790.43","4172.06","75533.01","20/06/2024","FOB","","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","Mouse Sem Fio","26","1781.55","701.69","46320.3","01/14/2023","FOB","","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","PC Gamer","16","6829.2","2714.18","109267.2","07/10/2024","CIF","160.48","Em Análise"
"Renato Carvalho","Recife","Ba","071.142.172-58","","Mesa de Escritório","29","3630.06","1980.8","105271.74","27/01/2024","FOB","","Em Análise"
"TechInfo Solutions","Manaus","Ba","","23.142.529/9475-25","Mini Projetor","27","2194.62","1331.14","59254.74","31/10/2023","CIF","124.04","Pendente"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","","2","1968.74","1129.49","3937.48","02/09/2023","FOB","","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Pulseira Esportiva","11","9819","3519.38","108009","08/09/2023","CIF","110.69","Em Análise"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Óculos de Sol","20","9640.62","4300.07","192812.4","01/05/2024","CIF","57.58","Cancelada"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Fone Bluetooth","12","650.78","283.49","7809.36","04/11/2024","CIF","149.53","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Óculos de Sol","16","1463.18","573.74","23410.88","25/03/2023","CIF","93.58","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa Gamer","4","3853.88","1677.63","15415.52","09/24/2023","FOB","","Pendente"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Notebook Gamer","6","4535.7","3020.39","27214.2","04/02/2023","CIF","110.21","Cancelada"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","PC Gamer","6","6829.45","2714.18","40976.7","18/04/2023","FOB","","Cancelada"
"Hugo Martins","Manaus","AM","181.125.206-47","","Mini Projetor","26","1395.56","892.36","36284.56","02/06/2024","FOB","","Pendente"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Mouse Sem Fio","19","851.31","701.69","16174.89","09/17/2024","FOB","","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Drone Compacto","23","56.04","42.58","1288.92","11/14/2023","CIF","133.87","Pendente"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Notebook Gamer","26","2184.44","1465.32","56795.44","03/31/2023","CIF","122.86","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Estojo Escolar","26","4700.54","2260.22","122214.04","28/01/2024","CIF","31.26","Pendente"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Relógio Digital","24","152.98","86.7","3671.52","31/08/2024","FOB","","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Pulseira Esportiva","7","10999.15","4831.31","76994.05","27/09/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caixa de Som Smart","30","11477.67","4985.88","344330.1","10/03/2023","FOB","","Cancelada"
"Rogério Matos","São Paulo","SP","263.971.756-39","","PC de Escritório","12","2426.69","871.59","29120.28","08/01/2023","CIF","24.94","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Caneta Esferográfica","21","3641.71","1747.81","76475.91","03/06/2024","FOB","","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","PC de Escritório","20","128.98","81.54","2579.6","16/07/2023","FOB","","Cancelada"
"Carlos Eduardo Lima","Brasília"," pa","768.734.911-59","","Teclado Mecânico","11","6500.3","2531.95","71503.3","16/08/2024","CIF","148.93","Concluída"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Carteira Masculina","30","1466.38","1006.08","43991.4","28/11/2024","FOB","","Em Análise"
"João Victor Ribeiro","Belém","Prr","178.754.043-55","","Notebook Gamer","15","7659.77","3642.58","114896.55","10/03/2024","FOB","","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Gaveteiro com Rodas","22","10413.56","4073.04","229098.32","01/18/2023","CIF","169.33","Concluída"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Kit Gamer Completo","18","10111.02","4378.65","181998.36","07/02/2023","CIF","107.88","Pendente"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Mini Projetor","15","4073.07","1788.53","61096.05","16/02/2024","FOB","","Concluída"
"Fernanda Almeida","Recife","am ","726.932.467-29","","Drone Compacto","16","6620.92","2554.13","105934.72","17/12/2023","FOB","","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Notebook Comum","14","6829.65","4230.52","95615.1","08/27/2024","FOB","","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Mesa Gamer","6","5332.84","3994.46","31997.04","07/07/2023","FOB","","Em Análise"
"Simone Teixeira","Rio de Janeiro"," pa","499.655.531-18","","Caixa de Som Smart","3","6218.88","2727.77","18656.64","11/03/2023","FOB","","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Relógio Digital","17","4840.58","3080.95","82289.86","07/05/2023","CIF","94.23","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mouse Sem Fio","26","4911.41","2816.95","127696.66","14/06/2024","FOB","","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Estante de Livros","9","2245.89","1655.49","20213.01","07/10/2024","CIF","157.96","Pendente"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Pulseira Esportiva","20","6483.62","3664.25","129672.4","20/09/2023","CIF","139.67","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Teclado Mecânico","25","5261.32","2746.51","131533","14/03/2023","FOB","","Cancelada"
"Hugo Martins","Manaus","AM","181.125.206-47","","Mochila Executiva","21","1608.21","974.18","33772.41","16/10/2024","FOB","","Cancelada"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Agenda 2025","18","4650.22","3096.3","83703.96","01/07/2024","CIF","181.71","Concluída"
"UniFlex Comercial","Manaus","SPP","","53.020.698/5267-01","Notebook Gamer","10","1643.29","646.73","16432.9","07/05/2023","FOB","","Em Análise"
"Rafael Andrade","Porto Alegre","am ","618.986.735-72","","Carteira Masculina","10","6445.01","3940.74","64450.1","02/09/2024","FOB","","Pendente"
"TechInfo Solutions","Manaus","am ","","23.142.529/9475-25","Carteira Masculina","12","4603.62","2611.38","55243.44","03/03/2024","CIF","188.81","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Monitor Full HD","26","7637.03","4550.05","198562.78","04/08/2024","CIF","23.95","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Headset USB","9","5495.84","3076.89","49462.56","05/06/2024","CIF","167.98","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Drone Compacto","6","1384.66","1142.1","8307.96","30/06/2024","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Mochila Executiva","19","6531.35","2639.54","124095.65","11/08/2023","FOB","","Concluída"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","PC Gamer","1","2835.28","1403.17","2835.28","18/10/2024","FOB","","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Teclado Mecânico","18","7687.14","3691.1","138368.52","14/06/2024","CIF","169.01","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Caneta Esferográfica","9","5380.36","4492.84","48423.24","02/17/2023","FOB","","Cancelada"
"Ana Paula Silva","Brasília","Prr","862.295.268-57","","Headset USB","7","5966.02","3772.27","41762.14","12/31/2023","CIF","158.06","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Caderno Universitário","28","1982.43","792.15","55508.04","02/10/2024","CIF","153.65","Concluída"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Fone Bluetooth","21","11591.82","4669.59","243428.22","06/22/2024","FOB","","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Bloco de Notas","27","9269.63","4301.47","250280.01","25/11/2023","CIF","184.56","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Armário de Aço","18","3342.16","2215.21","60158.88","09/27/2024","CIF","144.99","Concluída"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Carteira Masculina","14","5841.6","2611.38","81782.4","10/25/2023","FOB","","Cancelada"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Mesa Gamer","12","4787.13","3954.14","57445.56","31/07/2024","FOB","","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Óculos de Sol","11","1433.61","573.74","15769.71","29/10/2024","FOB","","Cancelada"
